Model,Cylinders,Origin,EngineSize,Weight,MPG.highway
Integra,4,non-USA,1.8,2705,31
Legend,6,non-USA,3.2,3560,25
90,6,non-USA,2.8,3375,26
100,6,non-USA,2.8,3405,26
535i,4,non-USA,3.5,3640,30
Century,4,USA,2.2,2880,31
LeSabre,6,USA,3.8,3470,28
Roadmaster,6,USA,5.7,4105,25
Riviera,6,USA,3.8,3495,27
DeVille,8,USA,4.9,3620,25
Seville,8,USA,4.6,3935,25
Cavalier,4,USA,2.2,2490,36
Corsica,4,USA,2.2,2785,34
Camaro,6,USA,3.4,3240,28
Lumina,4,USA,2.2,3195,29
Lumina_APV,6,USA,3.8,3715,23
Astro,6,USA,4.3,4025,20
Caprice,8,USA,5,3910,26
Corvette,8,USA,5.7,3380,25
Concorde,6,USA,3.3,3515,28
LeBaron,4,USA,3,3085,28
Imperial,6,USA,3.3,3570,26
Colt,4,USA,1.5,2270,33
Shadow,4,USA,2.2,2670,29
Spirit,4,USA,2.5,2970,27
Caravan,6,USA,3,3705,21
Dynasty,4,USA,2.5,3080,27
Stealth,6,USA,3,3805,24
Summit,4,USA,1.5,2295,33
Vision,6,USA,3.5,3490,28
Festiva,4,USA,1.3,1845,33
Escort,4,USA,1.8,2530,30
Tempo,4,USA,2.3,2690,27
Mustang,4,USA,2.3,2850,29
Probe,4,USA,2,2710,30
Aerostar,6,USA,3,3735,20
Taurus,6,USA,3,3325,30
Crown_Victoria,8,USA,4.6,3950,26
Metro,3,non-USA,1,1695,50
Storm,4,non-USA,1.6,2475,36
Prelude,4,non-USA,2.3,2865,31
Civic,4,non-USA,1.5,2350,46
Accord,4,non-USA,2.2,3040,31
Excel,4,non-USA,1.5,2345,33
Elantra,4,non-USA,1.8,2620,29
Scoupe,4,non-USA,1.5,2285,34
Sonata,4,non-USA,2,2885,27
Q45,8,non-USA,4.5,4000,22
ES300,6,non-USA,3,3510,24
SC300,6,non-USA,3,3515,23
Continental,6,USA,3.8,3695,26
Town_Car,8,USA,4.6,4055,26
323,4,non-USA,1.6,2325,37
Protege,4,non-USA,1.8,2440,36
626,4,non-USA,2.5,2970,34
MPV,6,non-USA,3,3735,24
RX-7,rotary,non-USA,1.3,2895,25
190E,4,non-USA,2.3,2920,29
300E,6,non-USA,3.2,3525,25
Capri,4,USA,1.6,2450,26
Cougar,6,USA,3.8,3610,26
Mirage,4,non-USA,1.5,2295,33
Diamante,6,non-USA,3,3730,24
Sentra,4,non-USA,1.6,2545,33
Altima,4,non-USA,2.4,3050,30
Quest,6,non-USA,3,4100,23
Maxima,6,non-USA,3,3200,26
Achieva,4,USA,2.3,2910,31
Cutlass_Ciera,4,USA,2.2,2890,31
Silhouette,6,USA,3.8,3715,23
Eighty-Eight,6,USA,3.8,3470,28
Laser,4,USA,1.8,2640,30
LeMans,4,USA,1.6,2350,41
Sunbird,4,USA,2,2575,31
Firebird,6,USA,3.4,3240,28
Grand_Prix,6,USA,3.4,3450,27
Bonneville,6,USA,3.8,3495,28
900,4,non-USA,2.1,2775,26
SL,4,USA,1.9,2495,38
Justy,3,non-USA,1.2,2045,37
Loyale,4,non-USA,1.8,2490,30
Legacy,4,non-USA,2.2,3085,30
Swift,3,non-USA,1.3,1965,43
Tercel,4,non-USA,1.5,2055,37
Celica,4,non-USA,2.2,2950,32
Camry,4,non-USA,2.2,3030,29
Previa,4,non-USA,2.4,3785,22
Fox,4,non-USA,1.8,2240,33
Eurovan,5,non-USA,2.5,3960,21
Passat,4,non-USA,2,2985,30
Corrado,6,non-USA,2.8,2810,25
240,4,non-USA,2.3,2985,28
850,5,non-USA,2.4,3245,28
