default,student,balance,income
No,No,1351.8529658455577,40177.95896222995
No,Yes,567.7225809135325,14892.32444514687
No,No,1814.1056487129522,32977.908624726195
Yes,No,2005.5751284705484,36636.00859373133
No,No,255.11703097566237,55980.074042526976
No,No,1184.4252448815323,36887.43996685497
No,Yes,1815.445230791727,18919.41696869793
No,No,47.42347927711262,29567.857431916047
No,No,480.57114214790295,36192.09032334836
Yes,No,1319.816454387715,36548.8183522009
No,No,48.2656403155554,32081.092297819854
No,No,846.419381894194,36115.76208579354
No,No,1342.0475943178885,51442.56558201335
No,No,532.3267380595431,30851.27776922746
No,No,1526.2686685968472,44845.13629153239
No,Yes,1596.7010547951177,21581.272259308986
No,No,390.0550263701768,27108.213659103814
No,No,338.7252717424957,37017.10148915087
No,Yes,598.2181943719734,19794.576409874942
No,No,716.9202274614343,24015.519124563973
No,No,686.8929285897069,51120.82997972287
No,No,1265.1277392992117,49385.52185706934
No,No,387.76134166605954,40063.72764058244
No,Yes,1291.977345808973,26571.874560248867
No,No,689.68736238319525,24085.434827478162
No,No,519.517295548749,39704.69296251217
No,Yes,947.4537110101307,21945.793036023544
No,Yes,306.41092706328425,13594.188233110412
No,Yes,893.7084711467749,16399.778520563963
No,No,173.24917166087243,30697.24506196258
No,No,1630.4830098598784,54323.42288686281
No,Yes,1331.9805675556315,20672.3395409647
No,No,260.3399356948368,34932.49376274421
No,Yes,1041.1473512967277,12488.731928120822
No,No,267.3037277440134,23117.92867337824
No,No,1306.7705732940874,56640.63403360774
No,No,92.74066299733556,40722.59064890618
No,Yes,1473.695931005091,19759.501868247877
No,No,584.0902554008214,24580.856838969412
No,No,377.7139958367838,46729.33299142606
No,Yes,592.1700026420017,18684.2356401468
No,No,417.7275813285077,31206.290452244288
Yes,No,1125.6565618153031,34758.12377962023
No,No,300.0004665080236,41189.45220105609
No,No,630.7255594738792,30466.37851511417
No,Yes,598.0818313184839,12385.824076054636
No,No,1193.762792358355,34909.30888147252
No,No,1046.416672847167,47598.30736857011
No,No,1220.3122823331803,36190.99360968123
No,No,184.88729830205352,49716.020405298514
No,No,743.0559317049739,40944.563804484744
No,No,439.35238400198216,44620.26514880286
No,Yes,1669.2781055843366,13771.393396425367
No,No,0,24566.483365516324
No,No,32.068078994430834,38788.66047137971
No,No,775.44392753938,33781.78106512141
No,No,524.416793070104,41535.32465547497
No,No,1283.2288865819983,47514.993365904724
No,Yes,1214.408306140393,18055.238467348114
No,No,1454.9815887184327,43821.22134719728
No,No,627.8761332908452,51770.45835024859
No,No,1309.2537724595034,43278.0592842939
No,No,1024.6129864914153,34401.01774327601
No,No,886.2166287861586,40486.85944335972
No,No,220.22911768058782,37451.017612856056
No,No,695.669009847766,36977.64018787965
No,No,1170.7434640442725,49832.951401560895
No,No,997.4773427030652,44748.79193911076
No,Yes,703.6859704509784,16617.570088455635
No,No,1448.8354653749511,33835.73625636168
No,No,353.63833421068733,43145.17966149304
No,No,286.26742159411657,47960.438213251924
No,No,610.0521708531234,35855.387930343306
No,No,735.0188558744339,25305.253954142347
No,No,1187.9046862355692,43873.9829119949
No,Yes,741.4423677368763,15499.919321248612
No,No,1322.2517605997039,43802.62723910628
No,Yes,878.9983935523509,12054.859038834205
No,Yes,894.4654680935041,14035.499138118785
Yes,No,1360.385781987147,28992.001819435543
No,Yes,889.0123127135104,10382.93680093846
No,No,1287.205895493052,37135.36393987973
No,No,163.3531708168258,45183.145124565825
No,No,1388.664149130951,31021.5500811071
No,Yes,1053.1617350975143,25222.978843403987
No,Yes,548.2728639447755,12048.822892267122
No,No,463.085599132038,46760.495885104916
No,Yes,1321.443052865271,8624.110688742807
No,Yes,1110.100456531919,13013.610567213607
No,Yes,928.2334115046681,20932.69205915329
No,No,581.4231694755442,44600.66279731709
No,Yes,230.15916868584918,24776.69314841074
No,No,1072.0337701187204,47029.26036765702
No,No,618.8815019922008,27906.58961817668
No,Yes,1463.337765149643,11579.159452276477
No,No,307.69311899299635,42220.85391767395
No,Yes,2033.3624960493025,18549.74538535831
No,No,481.98949130484755,19240.31428661292
No,Yes,1282.3504094604873,7230.030470892238
No,Yes,1969.407748227456,23674.376304137986
No,No,746.8365104729216,41294.45224656018
No,No,898.5668284560173,37919.75067748164
No,No,971.5836736434366,41278.41902661944
No,No,469.15197445292785,30366.719598144795
No,No,116.353735409607,30765.351800246593
No,No,820.9453030265827,34064.67367727505
No,Yes,1207.0524826375577,24747.889969265256
No,Yes,167.63791478178052,16771.56702810562
No,No,409.5960722886017,30627.502940237304
No,No,676.7633505970615,34400.8608868938
No,No,1355.8668429274971,45537.954916075716
No,No,1676.1147987584654,25317.171393727407
No,Yes,860.8353998996369,19514.763516061048
No,Yes,1471.923928988956,19774.923878527417
No,Yes,463.09166144648134,21248.652935187878
No,No,1476.8776419990372,42271.333408172264
No,No,811.1712028553659,42185.4435714864
No,Yes,590.5662325548819,9143.396432697744
No,Yes,1087.9177444262364,18053.08389525536
No,No,1476.8381231554974,41154.881749544154
No,Yes,941.7180088833016,23362.97717435433
No,No,1457.7160543213217,37453.839774846834
No,No,1184.3080211008275,37600.07534094988
No,No,796.0250533105215,38443.89641345791
No,No,1256.982650190192,38083.130364008015
No,No,1319.0417181748394,57768.89998481098
No,No,639.6256746664104,38660.923224585356
No,No,587.7644960042883,39618.81735626069
No,No,1149.0129579621935,35310.12954708098
No,No,608.9583159302442,24975.646406923275
No,No,225.8196600706301,54124.20604146188
No,No,897.4202656577725,36296.74813841193
No,Yes,571.293911015155,15416.269354685775
No,Yes,563.5426611001624,24082.039344103076
No,No,756.1601308577006,52778.05362521843
No,No,1666.4156238280445,18916.374862988145
No,No,1110.7209223393315,47221.44762002084
No,No,0,55760.501938375724
No,No,768.6940068762748,32373.77105120304
No,No,4.1094981453831,38326.19836012911
